"VAR","YEAR.2016.ez","YEAR.2017.ez","YEAR.2018.ez","YEAR.2019.ez","YEAR.2020.ez","YEAR.2021.ez","YEAR.2016.pc","YEAR.2017.pc","YEAR.2018.pc","YEAR.2019.pc","YEAR.2020.pc","YEAR.2021.pc"
"officexpns","","","","","","","officexpns","officexpns","officexpns","officexpns","officexpns","officexpns"
"operatehosptlcd","","","","","","","operatehosptlcd","operatehosptlcd","operatehosptlcd","operatehosptlcd","operatehosptlcd","operatehosptlcd"
"operateschools170cd","","","","","","","operateschools170cd","operateschools170cd","operateschools170cd","operateschools170cd","operateschools170cd","operateschools170cd"
"orgtrnsfrcd","","","","","","","orgtrnsfrcd","orgtrnsfrcd","orgtrnsfrcd","orgtrnsfrcd","orgtrnsfrcd","orgtrnsfrcd"
"othrassetsend","","","","","","","othrassetsend","othrassetsend","othrassetsend","othrassetsend","othrassetsend","othrassetsend"
"othrchgsnetassetfnd","othrchgsnetassetfnd","othrchgsnetassetfnd","othrchgsnetassetfnd","othrchgsnetassetfnd","othrchgsnetassetfnd","othrchgsnetassetfnd","","","","","",""
"othremplyeebenef","","","","","","","othremplyeebenef","othremplyeebenef","othremplyeebenef","othremplyeebenef","othremplyeebenef","othremplyeebenef"
"othrevnue","othrevnue","othrevnue","othrevnue","othrevnue","othrevnue","othrevnue","","","","","",""
"othrexpnsa","","","","","","","othrexpnsa","othrexpnsa","othrexpnsa","othrexpnsa","othrexpnsa","othrexpnsa"
"othrexpnsb","","","","","","","othrexpnsb","othrexpnsb","othrexpnsb","othrexpnsb","othrexpnsb","othrexpnsb"
"othrexpnsc","","","","","","","othrexpnsc","othrexpnsc","othrexpnsc","othrexpnsc","othrexpnsc","othrexpnsc"
"othrexpnsd","","","","","","","othrexpnsd","othrexpnsd","othrexpnsd","othrexpnsd","othrexpnsd","othrexpnsd"
"othrexpnse","","","","","","","othrexpnse","othrexpnse","othrexpnse","othrexpnse","othrexpnse","othrexpnse"
"othrexpnsf","","","","","","","othrexpnsf","othrexpnsf","othrexpnsf","othrexpnsf","othrexpnsf","othrexpnsf"
"othrinc170","othrinc170","othrinc170","othrinc170","othrinc170","othrinc170","othrinc170","othrinc170","othrinc170","othrinc170","othrinc170","othrinc170","othrinc170"
"othrinc509","othrinc509","othrinc509","othrinc509","othrinc509","othrinc509","othrinc509","othrinc509","othrinc509","othrinc509","othrinc509","othrinc509","othrinc509"
"othrinvstinc","othrinvstinc","othrinvstinc","othrinvstinc","othrinvstinc","othrinvstinc","othrinvstinc","","","","","",""
"othrliabend","","","","","","","othrliabend","othrliabend","othrliabend","othrliabend","othrliabend","othrliabend"
"othrsalwages","","","","","","","othrsalwages","othrsalwages","othrsalwages","othrsalwages","othrsalwages","othrsalwages"
"ownsepentcd","","","","","","","ownsepentcd","ownsepentcd","ownsepentcd","ownsepentcd","ownsepentcd","ownsepentcd"
"paidinsurplusend","","","","","","","paidinsurplusend","paidinsurplusend","paidinsurplusend","paidinsurplusend","paidinsurplusend","paidinsurplusend"
"paybletoffcrsend","","","","","","","paybletoffcrsend","paybletoffcrsend","paybletoffcrsend","paybletoffcrsend","paybletoffcrsend","paybletoffcrsend"
"payrolltx","","","","","","","payrolltx","payrolltx","payrolltx","payrolltx","payrolltx","payrolltx"
"pensionplancontrb","","","","","","","pensionplancontrb","pensionplancontrb","pensionplancontrb","pensionplancontrb","pensionplancontrb","pensionplancontrb"
"permrstrctnetasstsend","","","","","","","permrstrctnetasstsend","permrstrctnetasstsend","permrstrctnetasstsend","permrstrctnetasstsend","permrstrctnetasstsend","permrstrctnetasstsend"
"pldgegrntrcvblend","","","","","","","pldgegrntrcvblend","pldgegrntrcvblend","pldgegrntrcvblend","pldgegrntrcvblend","pldgegrntrcvblend","pldgegrntrcvblend"
"politicalactvtscd","","","","","","","politicalactvtscd","politicalactvtscd","politicalactvtscd","politicalactvtscd","politicalactvtscd","politicalactvtscd"
"politicalexpend","politicalexpend","politicalexpend","politicalexpend","politicalexpend","politicalexpend","politicalexpend","","","","","",""
"premiumspaidcd","","","","","","","premiumspaidcd","premiumspaidcd","premiumspaidcd","premiumspaidcd","premiumspaidcd","premiumspaidcd"
"prepaidexpnsend","","","","","","","prepaidexpnsend","prepaidexpnsend","prepaidexpnsend","prepaidexpnsend","prepaidexpnsend","prepaidexpnsend"
"prgmservcode2acd","","","","","","","prgmservcode2acd","prgmservcode2acd","prgmservcode2acd","prgmservcode2acd","prgmservcode2acd","prgmservcode2acd"
"prgmservcode2bcd","","","","","","","prgmservcode2bcd","prgmservcode2bcd","prgmservcode2bcd","prgmservcode2bcd","prgmservcode2bcd","prgmservcode2bcd"
"prgmservcode2ccd","","","","","","","prgmservcode2ccd","prgmservcode2ccd","prgmservcode2ccd","prgmservcode2ccd","prgmservcode2ccd","prgmservcode2ccd"
"prgmservcode2dcd","","","","","","","prgmservcode2dcd","prgmservcode2dcd","prgmservcode2dcd","prgmservcode2dcd","prgmservcode2dcd","prgmservcode2dcd"
"prgmservcode2ecd","","","","","","","prgmservcode2ecd","prgmservcode2ecd","prgmservcode2ecd","prgmservcode2ecd","prgmservcode2ecd","prgmservcode2ecd"
"prgmservrev","prgmservrev","prgmservrev","prgmservrev","prgmservrev","prgmservrev","prgmservrev","","","","","",""
"profndraising","","","","","","","profndraising","profndraising","profndraising","profndraising","profndraising","profndraising"
"prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd","prohibtdtxshltrcd"
"providegoodscd","","","","","","","providegoodscd","providegoodscd","providegoodscd","providegoodscd","providegoodscd","providegoodscd"
"prptyintrcvdcd","","","","","","","prptyintrcvdcd","prptyintrcvdcd","prptyintrcvdcd","prptyintrcvdcd","prptyintrcvdcd","prptyintrcvdcd"
"prtynotifyorgcd","","","","","","","prtynotifyorgcd","prtynotifyorgcd","prtynotifyorgcd","prtynotifyorgcd","prtynotifyorgcd","prtynotifyorgcd"
"pubsupplesspct170","pubsupplesspct170","pubsupplesspct170","pubsupplesspct170","pubsupplesspct170","pubsupplesspct170","pubsupplesspct170","pubsupplesspct170","pubsupplesspct170","pubsupplesspct170","pubsupplesspct170","pubsupplesspct170","pubsupplesspct170"
"pubsupplesssub509","","pubsupplesssub509","pubsupplesssub509","","","pubsupplesssub509","","","","","",""
"pubsupplesub509","pubsupplesub509","","","pubsupplesub509","pubsupplesub509","","pubsupplesub509","pubsupplesub509","pubsupplesub509","pubsupplesub509","pubsupplesub509","pubsupplesub509"
"pubsuppsubtot170","pubsuppsubtot170","pubsuppsubtot170","pubsuppsubtot170","pubsuppsubtot170","pubsuppsubtot170","pubsuppsubtot170","pubsuppsubtot170","pubsuppsubtot170","pubsuppsubtot170","pubsuppsubtot170","pubsuppsubtot170","pubsuppsubtot170"
"pubsuppsubtot509","pubsuppsubtot509","pubsuppsubtot509","pubsuppsubtot509","pubsuppsubtot509","pubsuppsubtot509","pubsuppsubtot509","pubsuppsubtot509","pubsuppsubtot509","pubsuppsubtot509","pubsuppsubtot509","pubsuppsubtot509","pubsuppsubtot509"
"pymtoaffiliates","","","","","","","pymtoaffiliates","pymtoaffiliates","pymtoaffiliates","pymtoaffiliates","pymtoaffiliates","pymtoaffiliates"
"qualhlthonhnd","","","","","","","qualhlthonhnd","qualhlthonhnd","qualhlthonhnd","qualhlthonhnd","qualhlthonhnd","qualhlthonhnd"
"qualhlthplncd","","","","","","","qualhlthplncd","qualhlthplncd","qualhlthplncd","qualhlthplncd","qualhlthplncd","qualhlthplncd"
"qualhlthreqmntn","","","","","","","qualhlthreqmntn","qualhlthreqmntn","qualhlthreqmntn","qualhlthreqmntn","qualhlthreqmntn","qualhlthreqmntn"
"rcvbldisqualend","","","","","","","rcvbldisqualend","rcvbldisqualend","rcvbldisqualend","rcvbldisqualend","rcvbldisqualend","rcvbldisqualend"
"rcvdfrmdisqualsub509","rcvdfrmdisqualsub509","rcvdfrmdisqualsub509","rcvdfrmdisqualsub509","rcvdfrmdisqualsub509","rcvdfrmdisqualsub509","rcvdfrmdisqualsub509","rcvdfrmdisqualsub509","rcvdfrmdisqualsub509","rcvdfrmdisqualsub509","rcvdfrmdisqualsub509","rcvdfrmdisqualsub509","rcvdfrmdisqualsub509"
"rcvdpdtngcd","","","","","","","rcvdpdtngcd","rcvdpdtngcd","rcvdpdtngcd","rcvdpdtngcd","rcvdpdtngcd","rcvdpdtngcd"
"recvartcd","","","","","","","recvartcd","recvartcd","recvartcd","recvartcd","recvartcd","recvartcd"
"recvnoncashcd","","","","","","","recvnoncashcd","recvnoncashcd","recvnoncashcd","recvnoncashcd","recvnoncashcd","recvnoncashcd"
"reltdorgcd","","","","","","","reltdorgcd","reltdorgcd","reltdorgcd","reltdorgcd","reltdorgcd","reltdorgcd"
"retainedearnend","","","","","","","retainedearnend","retainedearnend","retainedearnend","retainedearnend","retainedearnend","retainedearnend"
"rntlexpnsprsnl","","","","","","","rntlexpnsprsnl","rntlexpnsprsnl","rntlexpnsprsnl","rntlexpnsprsnl","rntlexpnsprsnl","rntlexpnsprsnl"
"rntlexpnsreal","","","","","","","rntlexpnsreal","rntlexpnsreal","rntlexpnsreal","rntlexpnsreal","rntlexpnsreal","rntlexpnsreal"
"rntlincprsnl","","","","","","","rntlincprsnl","rntlincprsnl","rntlincprsnl","rntlincprsnl","rntlincprsnl","rntlincprsnl"
"rntlincreal","","","","","","","rntlincreal","rntlincreal","rntlincreal","rntlincreal","rntlincreal","rntlincreal"
"royaltsexpns","","","","","","","royaltsexpns","royaltsexpns","royaltsexpns","royaltsexpns","royaltsexpns","royaltsexpns"
"royaltsinc","","","","","","","royaltsinc","royaltsinc","royaltsinc","royaltsinc","royaltsinc","royaltsinc"
"rptgrntstogovtcd","","","","","","","rptgrntstogovtcd","rptgrntstogovtcd","rptgrntstogovtcd","rptgrntstogovtcd","rptgrntstogovtcd","rptgrntstogovtcd"
"rptgrntstoindvcd","","","","","","","rptgrntstoindvcd","rptgrntstoindvcd","rptgrntstoindvcd","rptgrntstoindvcd","rptgrntstoindvcd","rptgrntstoindvcd"
"rptincfnndrsngcd","","","","","","","rptincfnndrsngcd","rptincfnndrsngcd","rptincfnndrsngcd","rptincfnndrsngcd","rptincfnndrsngcd","rptincfnndrsngcd"
"rptincgamingcd","","","","","","","rptincgamingcd","rptincgamingcd","rptincgamingcd","rptincgamingcd","rptincgamingcd","rptincgamingcd"
"rptinvstothsecd","","","","","","","rptinvstothsecd","rptinvstothsecd","rptinvstothsecd","rptinvstothsecd","rptinvstothsecd","rptinvstothsecd"
"rptinvstprgrelcd","","","","","","","rptinvstprgrelcd","rptinvstprgrelcd","rptinvstprgrelcd","rptinvstprgrelcd","rptinvstprgrelcd","rptinvstprgrelcd"
"rptlndbldgeqptcd","","","","","","","rptlndbldgeqptcd","rptlndbldgeqptcd","rptlndbldgeqptcd","rptlndbldgeqptcd","rptlndbldgeqptcd","rptlndbldgeqptcd"
"rptothasstcd","","","","","","","rptothasstcd","rptothasstcd","rptothasstcd","rptothasstcd","rptothasstcd","rptothasstcd"
"rptothliabcd","","","","","","","rptothliabcd","rptothliabcd","rptothliabcd","rptothliabcd","rptothliabcd","rptothliabcd"
"rptprofndrsngfeescd","","","","","","","rptprofndrsngfeescd","rptprofndrsngfeescd","rptprofndrsngfeescd","rptprofndrsngfeescd","rptprofndrsngfeescd","rptprofndrsngfeescd"
"rptyestocompnstncd","","","","","","","rptyestocompnstncd","rptyestocompnstncd","rptyestocompnstncd","rptyestocompnstncd","rptyestocompnstncd","rptyestocompnstncd"
"s4958excessbenefcd","s4958excessbenefcd","s4958excessbenefcd","s4958excessbenefcd","s4958excessbenefcd","s4958excessbenefcd","s4958excessbenefcd","","","","","",""
"s4966distribcd","","","","","","","s4966distribcd","s4966distribcd","s4966distribcd","s4966distribcd","s4966distribcd","s4966distribcd"
"s501c3or4947a1cd","","","","","","","s501c3or4947a1cd","s501c3or4947a1cd","s501c3or4947a1cd","s501c3or4947a1cd","s501c3or4947a1cd","s501c3or4947a1cd"
"samepubsuppsubtot170","samepubsuppsubtot170","samepubsuppsubtot170","samepubsuppsubtot170","samepubsuppsubtot170","samepubsuppsubtot170","samepubsuppsubtot170","samepubsuppsubtot170","samepubsuppsubtot170","samepubsuppsubtot170","samepubsuppsubtot170","samepubsuppsubtot170","samepubsuppsubtot170"
"samepubsuppsubtot509","samepubsuppsubtot509","samepubsuppsubtot509","samepubsuppsubtot509","samepubsuppsubtot509","samepubsuppsubtot509","samepubsuppsubtot509","samepubsuppsubtot509","samepubsuppsubtot509","samepubsuppsubtot509","samepubsuppsubtot509","samepubsuppsubtot509","samepubsuppsubtot509"
"schdbind","","","","","","","schdbind","schdbind","schdbind","schdbind","schdbind","schdbind"
"secrdmrtgsend","","","","","","","secrdmrtgsend","secrdmrtgsend","secrdmrtgsend","secrdmrtgsend","secrdmrtgsend","secrdmrtgsend"
"sellorexchcd","","","","","","","sellorexchcd","sellorexchcd","sellorexchcd","sellorexchcd","sellorexchcd","sellorexchcd"
"sepcnsldtfinstmtcd","","","","","","","sepcnsldtfinstmtcd","sepcnsldtfinstmtcd","sepcnsldtfinstmtcd","sepcnsldtfinstmtcd","sepcnsldtfinstmtcd","sepcnsldtfinstmtcd"
"sepindaudfinstmtcd","","","","","","","sepindaudfinstmtcd","sepindaudfinstmtcd","sepindaudfinstmtcd","sepindaudfinstmtcd","sepindaudfinstmtcd","sepindaudfinstmtcd"
"servasofficercd","","","","","","","servasofficercd","servasofficercd","servasofficercd","servasofficercd","servasofficercd","servasofficercd"
"solicitcntrbcd","","","","","","","solicitcntrbcd","solicitcntrbcd","solicitcntrbcd","solicitcntrbcd","solicitcntrbcd","solicitcntrbcd"
"srvcsval170","srvcsval170","srvcsval170","srvcsval170","srvcsval170","srvcsval170","srvcsval170","srvcsval170","srvcsval170","srvcsval170","srvcsval170","srvcsval170","srvcsval170"
"srvcsval509","srvcsval509","srvcsval509","srvcsval509","srvcsval509","srvcsval509","srvcsval509","srvcsval509","srvcsval509","srvcsval509","srvcsval509","srvcsval509","srvcsval509"
"subjto6033cd","","","","","","","subjto6033cd","subjto6033cd","subjto6033cd","subjto6033cd","subjto6033cd","subjto6033cd"
"subseccd","subseccd","subseccd","subseccd","subseccd","subseccd","subseccd","subseccd","subseccd","subseccd","subseccd","subseccd","subseccd"
"subtotpub509","subtotpub509","subtotpub509","subtotpub509","subtotpub509","subtotpub509","subtotpub509","subtotpub509","subtotpub509","subtotpub509","subtotpub509","subtotpub509","subtotpub509"
"subtotsuppinc509","subtotsuppinc509","subtotsuppinc509","subtotsuppinc509","subtotsuppinc509","subtotsuppinc509","subtotsuppinc509","subtotsuppinc509","subtotsuppinc509","subtotsuppinc509","subtotsuppinc509","subtotsuppinc509","subtotsuppinc509"
"svngstempinvend","","","","","","","svngstempinvend","svngstempinvend","svngstempinvend","svngstempinvend","svngstempinvend","svngstempinvend"
"tax_pd","tax_pd","","tax_pd","tax_pd","tax_pd","","tax_pd","tax_pd","tax_pd","tax_pd","tax_pd","tax_pd"
"taxpd","","taxpd","","","","taxpd","","","","","",""
"temprstrctnetasstsend","","","","","","","temprstrctnetasstsend","temprstrctnetasstsend","temprstrctnetasstsend","temprstrctnetasstsend","temprstrctnetasstsend","temprstrctnetasstsend"
"totassetsend","totassetsend","totassetsend","totassetsend","totassetsend","totassetsend","totassetsend","totassetsend","totassetsend","totassetsend","totassetsend","totassetsend","totassetsend"
"totcntrbgfts","","","","","","","totcntrbgfts","totcntrbgfts","totcntrbgfts","totcntrbgfts","totcntrbgfts","totcntrbgfts"
"totcntrbs","totcntrbs","totcntrbs","totcntrbs","totcntrbs","totcntrbs","totcntrbs","","","","","",""
"totcomprelatede","","","","","","","totcomprelatede","totcomprelatede","totcomprelatede","totcomprelatede","totcomprelatede","totcomprelatede"
"totestcompf","","","","","","","totestcompf","totestcompf","totestcompf","totestcompf","totestcompf","totestcompf"
"totexcessyr","totexcessyr","totexcessyr","totexcessyr","totexcessyr","totexcessyr","totexcessyr","","","","","",""
"totexpns","totexpns","totexpns","totexpns","totexpns","totexpns","totexpns","","","","","",""
"totfuncexpns","","","","","","","totfuncexpns","totfuncexpns","totfuncexpns","totfuncexpns","totfuncexpns","totfuncexpns"
"totgftgrntrcvd509","totgftgrntrcvd509","totgftgrntrcvd509","totgftgrntrcvd509","totgftgrntrcvd509","totgftgrntrcvd509","totgftgrntrcvd509","totgftgrntrcvd509","totgftgrntrcvd509","totgftgrntrcvd509","totgftgrntrcvd509","totgftgrntrcvd509","totgftgrntrcvd509"
"totliabend","totliabend","totliabend","totliabend","totliabend","totliabend","totliabend","totliabend","totliabend","totliabend","totliabend","totliabend","totliabend"
"totnetassetend","","","","","","","totnetassetend","totnetassetend","totnetassetend","totnetassetend","totnetassetend","totnetassetend"
"totnetassetsend","totnetassetsend","totnetassetsend","totnetassetsend","totnetassetsend","totnetassetsend","totnetassetsend","","","","","",""
"totnetliabastend","","","","","","","totnetliabastend","totnetliabastend","totnetliabastend","totnetliabastend","totnetliabastend","totnetliabastend"
"totnoforgscnt","","totnoforgscnt","totnoforgscnt","","","totnoforgscnt","","","","","",""
"totnooforgscnt","totnooforgscnt","","","totnooforgscnt","totnooforgscnt","","totnooforgscnt","totnooforgscnt","totnooforgscnt","totnooforgscnt","totnooforgscnt","totnooforgscnt"
"totprgmrevnue","","","","","","","totprgmrevnue","totprgmrevnue","totprgmrevnue","totprgmrevnue","totprgmrevnue","totprgmrevnue"
"totreprtabled","","","","","","","totreprtabled","totreprtabled","totreprtabled","totreprtabled","totreprtabled","totreprtabled"
"totrev2acola","","","","","","","totrev2acola","totrev2acola","totrev2acola","totrev2acola","totrev2acola","totrev2acola"
"totrev2bcola","","","","","","","totrev2bcola","totrev2bcola","totrev2bcola","totrev2bcola","totrev2bcola","totrev2bcola"
"totrev2ccola","","","","","","","totrev2ccola","totrev2ccola","totrev2ccola","totrev2ccola","totrev2ccola","totrev2ccola"
"totrev2dcola","","","","","","","totrev2dcola","totrev2dcola","totrev2dcola","totrev2dcola","totrev2dcola","totrev2dcola"
"totrev2ecola","","","","","","","totrev2ecola","totrev2ecola","totrev2ecola","totrev2ecola","totrev2ecola","totrev2ecola"
"totrev2fcola","","","","","","","totrev2fcola","totrev2fcola","totrev2fcola","totrev2fcola","totrev2fcola","totrev2fcola"
"totrevenue","","","","","","","totrevenue","totrevenue","totrevenue","totrevenue","totrevenue","totrevenue"
"totrevnue","totrevnue","totrevnue","totrevnue","totrevnue","totrevnue","totrevnue","","","","","",""
"totsupp170","totsupp170","","","totsupp170","totsupp170","","totsupp170","totsupp170","totsupp170","totsupp170","totsupp170","totsupp170"
"totsupp509","totsupp509","totsupp509","totsupp509","totsupp509","totsupp509","totsupp509","totsupp509","totsupp509","totsupp509","totsupp509","totsupp509","totsupp509"
"totsupport","totsupport","totsupport","totsupport","totsupport","totsupport","totsupport","totsupport","totsupport","totsupport","totsupport","totsupport","totsupport"
"totsupport170","","totsupport170","totsupport170","","","totsupport170","","","","","",""
"travel","","","","","","","travel","travel","travel","travel","travel","travel"
"travelofpublicoffcl","","","","","","","travelofpublicoffcl","travelofpublicoffcl","travelofpublicoffcl","travelofpublicoffcl","travelofpublicoffcl","travelofpublicoffcl"
"txexmptbndcd","","","","","","","txexmptbndcd","txexmptbndcd","txexmptbndcd","txexmptbndcd","txexmptbndcd","txexmptbndcd"
"txexmptbndsend","","","","","","","txexmptbndsend","txexmptbndsend","txexmptbndsend","txexmptbndsend","txexmptbndsend","txexmptbndsend"
"txexmptbndsproceeds","","","","","","","txexmptbndsproceeds","txexmptbndsproceeds","txexmptbndsproceeds","txexmptbndsproceeds","txexmptbndsproceeds","txexmptbndsproceeds"
"txexmptint","","","","","","","txexmptint","txexmptint","txexmptint","txexmptint","txexmptint","txexmptint"
"txrevnuelevied170","txrevnuelevied170","txrevnuelevied170","txrevnuelevied170","txrevnuelevied170","txrevnuelevied170","txrevnuelevied170","txrevnuelevied170","txrevnuelevied170","txrevnuelevied170","txrevnuelevied170","txrevnuelevied170","txrevnuelevied170"
"txrevnuelevied509","txrevnuelevied509","txrevnuelevied509","txrevnuelevied509","txrevnuelevied509","txrevnuelevied509","txrevnuelevied509","txrevnuelevied509","txrevnuelevied509","txrevnuelevied509","txrevnuelevied509","txrevnuelevied509","txrevnuelevied509"
"unrelbusinccd","","","","","","","unrelbusinccd","unrelbusinccd","unrelbusinccd","unrelbusinccd","unrelbusinccd","unrelbusinccd"
"unrelbusincd","unrelbusincd","unrelbusincd","unrelbusincd","unrelbusincd","unrelbusincd","unrelbusincd","","","","","",""
"unreltxincls511tx509","unreltxincls511tx509","unreltxincls511tx509","unreltxincls511tx509","unreltxincls511tx509","unreltxincls511tx509","unreltxincls511tx509","unreltxincls511tx509","unreltxincls511tx509","unreltxincls511tx509","unreltxincls511tx509","unreltxincls511tx509","unreltxincls511tx509"
"unrstrctnetasstsend","","","","","","","unrstrctnetasstsend","unrstrctnetasstsend","unrstrctnetasstsend","unrstrctnetasstsend","unrstrctnetasstsend","unrstrctnetasstsend"
"unsecurednotesend","","","","","","","unsecurednotesend","unsecurednotesend","unsecurednotesend","unsecurednotesend","unsecurednotesend","unsecurednotesend"
"wthldngrulescd","","","","","","","wthldngrulescd","wthldngrulescd","wthldngrulescd","wthldngrulescd","wthldngrulescd","wthldngrulescd"
"X","","","","","X","","","","","","X",""
"X.1","","","","","","","","","","","X.1",""
"X.2","","","","","","","","","","","X.2",""
"X.3","","","","","","","","","","","X.3",""
"X.4","","","","","","","","","","","X.4",""
